변전소명,회선명,전산화번호,선로명,선로번호,위도,경도,인근주소(참고자료),철거예정전주,구역(4등분)
천왕,왕도,9421P163,성도간,60,37.47835466,126.8544790,광명시 광명동 158-525 BL,,1구역
천왕,왕도,9421P161,성도간,61,37.47843210,126.8545137,광명시 광명동 158-526 BL,,1구역
천왕,왕도,9421P164,성도간,62,37.47862028,126.8546588,광명시 광명동 158-527 BL,,1구역
천왕,왕도,9421P162,성도간,63,37.47872340,126.8546395,광명시 광명동 158-528 BL,,1구역
천왕,왕도,9421P265,성도간,54R9,37.47853538,126.8550554,광명시 광명동 158-540 BL,,1구역
천왕,왕도,9421P264,성도간,54R8,37.47873852,126.8551385,광명시 광명동 158-543 BL,,1구역
광명,성도,9421P441,성도간,51,37.47744981,126.8564652,광명시 광명동 158-607 BL,철거,1구역
천왕,왕도,9421P153,성도간,58,37.47798560,126.8543213,광명시 광명동 158-665 BL,,1구역
신광명,서광,9421P041,성도간,58L1,37.47778439,126.8542346,광명시 광명동 158-666 BL,,1구역
신광명,서광,9421P032,왕일,8R2,37.47712099,126.8541700,광명시 광명동 158-751 BL,철거,2구역
신광명,서광,9421P042,왕일,8R1L1,37.47744484,126.8540762,광명시 광명동 158-779 BL,,2구역
천왕,왕도,9321X963,서교간,55R6,37.47836098,126.8535810,광명시 광명동 158-798 BL,,1구역
천왕,왕도,9321X962,서교간,55R5,37.47838074,126.8535292,광명시 광명동 158-798 BL,,1구역
천왕,왕도,9321X961,서교간,55R4,37.47848580,126.8532664,광명시 광명동 158-799 BL,,1구역
천왕,왕도,9321X971,서교간,55R4L1,37.47875298,126.8533935,광명시 광명동 158-802 BL,,1구역
천왕,왕도,9321X972,서교간,55R4L2,37.47898108,126.8534963,광명시 광명동 158-804 BL,,1구역
천왕,왕도,9321X973,서교간,55R4L3,37.47918938,126.8535875,광명시 광명동 158-806 BL,,1구역
천왕,왕도,9321X982,서교간,55R4L4,37.47928524,126.8536308,광명시 광명동 158-807 BL,,1구역
천왕,왕도,9321X863,서교간,55R3,37.47851103,126.8531447,광명시 광명동 158-818 BL,,1구역
천왕,왕도,9321X872,서교간,55R2L2,37.47898475,126.8528137,광명시 광명동 158-821 BL,,1구역
천왕,왕도,9321X882,서교간,55R2L4,37.47939842,126.8529970,광명시 광명동 158-832 BL,,1구역
천왕,왕도,9321X871,서교간,55R2L3,37.47917100,126.8528948,광명시 광명동 158-835 BL,,1구역
천왕,왕도,9321X781,서교간,56,37.47928562,126.8523592,광명시 광명동 158-844 BL,,1구역
천왕,왕도,9321X591,서교간,60,37.47988713,126.8514254,광명시 광명동 158-862 BL,,1구역
천왕,왕도,9321X691,서교간,59,37.47975340,126.8518706,광명시 광명동 158-866 BL,,1구역
천왕,왕도,9321X784,서교간,58,37.47962277,126.8523265,광명시 광명동 158-868 BL,,1구역
천왕,왕도,9321X785,서교간,57,37.47954099,126.8524673,광명시 광명동 158-869 BL,,1구역
천왕,진성,9421C112,천왕간,24R6,37.48066487,126.8545827,광명시 광명동 158-90 BL,,1구역
천왕,왕도,9321X581,서교간,61L1L2,37.47959159,126.8512983,광명시 광명동 158-908 BL,,1구역
천왕,왕도,9321X495,서교간,61L1L1,37.47968200,126.8509770,광명시 광명동 158-910 BL,,1구역
천왕,왕도,9321H202,서교간,64,37.48039817,126.8496633,광명시 광명동 158-924 BL,,1구역
천왕,왕도,9321X494,서교간,61,37.48003541,126.8509012,광명시 광명동 158-932 BL,,1구역
천왕,왕도,9321X392,서교간,61L3,37.47987378,126.8503255,광명시 광명동 158-944 BL,,1구역
천왕,왕도,9321X493,서교간,61L2,37.47982375,126.8505097,광명시 광명동 158-945 BL,,1구역
천왕,왕도,9321X492,서교간,61L1,37.47973841,126.8507631,광명시 광명동 158-947 BL,,1구역
천왕,왕도,9321X393,서교간,61L4,37.47996217,126.8500201,광명시 광명동 158-952 BL,,1구역
신광명,서목,9421A511,목감간,66,37.48544295,126.8566856,광명시 광명동 158-963 RI,,2구역
신광명,서목,9421A411,천왕간,18L18,37.48540276,126.8563834,광명시 광명동 158-963 RI,,1구역
천왕,진성,9421P581,진성간,15L7,37.47936903,126.8566772,광명시 광명동 158-974 BL,,2구역
천왕,왕도,9421P463,성도간,54R4R3,37.47836989,126.8565811,광명시 광명동 158-985 BL,,1구역
천왕,왕도,9321X862,서교간,55R2,37.47870111,126.8526876,광명시 광명동 158-987 BL,,1구역
천왕,왕일,9321H221,천왕간,9R2,37.48108131,126.8496715,광명시 광명동 158-995 W,,1구역
천왕,왕일,9321H133,천왕간,7,37.48166240,126.8492738,광명시 광명동 161-14 RI,,1구역
천왕,왕일,9321H134,천왕간,5,37.48175597,126.8489654,광명시 광명동 161-21 W,,1구역
천왕,왕일,9321H131,천왕간,6,37.48172569,126.8490685,광명시 광명동 161-29 RI,,1구역
천왕,왕일,9321H231,천왕간,8,37.48158406,126.8495156,광명시 광명동 161-31 RI,,1구역
천왕,왕일,9321G832,천왕간,1,37.48178954,126.8474758,광명시 광명동 162-21 HY,,1구역
천왕,왕일,9321H042,천왕간,4,37.48186112,126.8486127,광명시 광명동 162-6 RI,,1구역
천왕,서교,9321W971,서교간,13L2,37.47877046,126.8479104,광명시 광명동 164-49 BL,,1구역
천왕,왕도,9321H001,서교간,68R2,37.48015496,126.8485740,광명시 광명동 164-8 BL,,1구역
천왕,서교,9321W671,서교간,9,37.47887722,126.8462656,광명시 광명동 166 BL,,1구역
천왕,과림,9321W592,과림간,1L13,37.47971284,126.8454289,광명시 광명동 166-6 RI,,1구역
천왕,과림,9321W581,과림간,1L12,37.47936140,126.8453995,광명시 광명동 166-6 RI,,1구역
천왕,서교,9321W681,서교간,8,37.47936239,126.8463166,광명시 광명동 166-8 BL,,1구역
천왕,서교,9321W771,서교간,10,37.47873983,126.8466916,광명시 광명동 167 SC,,1구역
천왕,서교,9321W861,서교간,11,37.47862985,126.8471580,광명시 광명동 169-4 BL,,1구역
천왕,서교,9321W862,서교간,12,37.47852343,126.8474958,광명시 광명동 170 BL,,1구역
천왕,서교,9321W961,서교간,13,37.47837128,126.8477027,광명시 광명동 170-3 BL,,1구역
천왕,서교,9321X151,서교간,17,37.47801384,126.8490571,광명시 광명동 171-13 W,,1구역
천왕,서교,9321X054,서교간,14,37.47827877,126.8480238,광명시 광명동 171-22 BL,,1구역
천왕,서교,9321X061,서교간,13L5R1,37.47855431,126.8485720,광명시 광명동 172-13 BL,,1구역
천왕,서교,9321X073,서교간,13L5,37.47881012,126.8485009,광명시 광명동 172-44 BL,,1구역
천왕,서교,9321X171,서교간,13L6,37.47880502,126.8488383,광명시 광명동 172-73 W,,1구역
천왕,서교,9321W962,서교간,13L1L1,37.47864426,126.8477590,광명시 광명동 172-81 BL,,1구역
천왕,서교,9321W974,서교간,13L2L2,37.47912409,126.8479791,광명시 광명동 172-84 BL,,1구역
천왕,서교,9321X074,서교간,13L4,37.47881106,126.8482126,광명시 광명동 172-85 BL,,1구역
천왕,서교,9321W973,서교간,13L2L1,37.47891430,126.8479279,광명시 광명동 172-85 BL,,1구역
천왕,서교,9321W972,서교간,13L3,37.47882360,126.8479971,광명시 광명동 172-85 BL,,1구역
천왕,서교,9321W963,서교간,13L1,37.47862214,126.8478215,광명시 광명동 172-87 BL,,1구역
천왕,서교,9321X241,서교간,18,37.47781192,126.8494303,광명시 광명동 175-5 BL,,1구역
천왕,서교,9321X161,서교간,13L5R2,37.47854698,126.8489617,광명시 광명동 176-7 BL,,1구역
천왕,서교,9321X262,서교간,13L5R4,37.47852629,126.8498524,광명시 광명동 178-10 BL,,1구역
천왕,서교,9321X271,서교간,13L7,37.47878048,126.8494341,광명시 광명동 178-24 BL,,1구역
천왕,서교,9321X261,서교간,13L5R3,37.47853583,126.8494058,광명시 광명동 178-35 HY,,1구역
천왕,서교,9321X371,서교간,13L8,37.47877156,126.8499784,광명시 광명동 178-50 W,,1구역
천왕,서교,9321X372,서교간,13L9,37.47877190,126.8502547,광명시 광명동 178-62 W,,1구역
천왕,서교,9321X453,서교간,18L4,37.47828951,126.8505251,광명시 광명동 179-24 BL,,1구역
천왕,서교,9321X373,서교간,13L9L1,37.47893189,126.8501806,광명시 광명동 179-31 BL,,1구역
천왕,서교,9321X472,서교간,13L10,37.47877013,126.8505678,광명시 광명동 179-34 W,,1구역
천왕,왕도,9321X291,서교간,68L2,37.47979740,126.8497338,광명시 광명동 180-2 BL,,1구역
천왕,왕도,9321H201,서교간,65,37.48041831,126.8494221,광명시 광명동 182-4 BL,,1구역
천왕,왕도,9321X181,서교간,70,37.47945241,126.8489923,광명시 광명동 183-114 W,,1구역
천왕,왕도,9321X191,서교간,69,37.47974788,126.8491222,광명시 광명동 183-117 W,,1구역
천왕,왕도,9321X193,서교간,68,37.47991039,126.8491899,광명시 광명동 183-119 W,,1구역
천왕,왕도,9321X391,서교간,68L3,37.47972815,126.8499473,광명시 광명동 183-129 W,,1구역
천왕,왕도,9321H203,서교간,66,37.48024100,126.8493414,광명시 광명동 183-14 BL,,1구역
천왕,왕도,9321H101,서교간,67,37.48010747,126.8492739,광명시 광명동 183-17 BL,,1구역
천왕,왕도,9321X292,서교간,68L1,37.47991052,126.8493826,광명시 광명동 183-27 BL,,1구역
천왕,왕도,9321X194,서교간,68R1,37.48003455,126.8489067,광명시 광명동 183-88 BL,,1구역
천왕,서교,9321X463,서교간,13L13,37.47834692,126.8508116,광명시 광명동 189-100 W,,1구역
천왕,왕도,9321X561,서교간,50,37.47848779,126.8512637,광명시 광명동 189-29 BL,,1구역
천왕,왕도,9321X573,서교간,52,37.47899541,126.8515726,광명시 광명동 189-3 BL,,1구역
천왕,왕도,9321X551,서교간,49,37.47822951,126.8511097,광명시 광명동 189-31 BL,,1구역
천왕,왕도,9321X451,서교간,48,37.47803240,126.8509933,광명시 광명동 189-33 BL,,1구역
천왕,서교,9321X571,서교간,13L12,37.47876599,126.8510643,광명시 광명동 189-74 W,,1구역
천왕,서교,9321X471,서교간,13L11,37.47891989,126.8505731,광명시 광명동 189-80 W,,1구역
